epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5107,1.21154,3.20768,1.05584,0.00224,0.20344,0.01452,0.00614,1.24873,4.04294,0.91649,0.000466199,0.000466199,0.000466199
2,35.3268,1.01142,1.79474,0.97888,1,0.05136,0.76267,0.50875,1.17233,3.02325,0.93969,0.000933201,0.000933201,0.000933201
3,41.8869,0.96483,1.43525,0.97288,0.91314,0.7742,0.90592,0.58108,1.17825,1.59175,0.99287,0.00139077,0.00139077,0.00139077
4,48.5132,0.89128,1.23918,0.95123,0.93552,0.70682,0.85173,0.56698,1.07573,1.64808,0.95858,0.00138656,0.00138656,0.00138656
5,55.0382,0.8683,1.10865,0.95165,0.89899,0.83888,0.91375,0.60171,1.07231,1.03755,0.96384,0.00137241,0.00137241,0.00137241
6,61.5741,0.79682,0.91549,0.95005,0.91599,0.81897,0.90698,0.61295,1.02415,1.003,0.97288,0.00135826,0.00135826,0.00135826
7,67.9914,0.76934,0.81412,0.9362,0.88252,0.8608,0.92215,0.61228,1.0196,0.8441,0.95732,0.00134412,0.00134412,0.00134412
8,74.5708,0.76852,0.76518,0.93154,0.92308,0.88306,0.94197,0.62782,1.00826,0.81129,0.95798,0.00132997,0.00132997,0.00132997
9,80.9981,0.74806,0.70319,0.93122,0.92264,0.89805,0.94624,0.63264,0.99736,0.75818,0.94286,0.00131582,0.00131582,0.00131582
10,87.4117,0.71156,0.66375,0.91941,0.91213,0.8904,0.93141,0.6328,1.00228,0.74703,0.95771,0.00130168,0.00130168,0.00130168
11,93.8541,0.73459,0.65311,0.91858,0.97157,0.89209,0.96146,0.64347,0.97789,0.69912,0.9637,0.00128753,0.00128753,0.00128753
12,100.34,0.7283,0.60841,0.92585,0.9619,0.87513,0.95312,0.62153,0.99578,0.68734,0.94938,0.00127338,0.00127338,0.00127338
13,106.78,0.7297,0.58643,0.92835,0.94511,0.86624,0.94806,0.6521,0.95205,0.64467,0.93522,0.00125923,0.00125923,0.00125923
14,113.191,0.69068,0.55452,0.90998,0.92247,0.9046,0.95528,0.65278,0.94967,0.62275,0.92866,0.00124509,0.00124509,0.00124509
15,119.673,0.67102,0.53862,0.90137,0.89682,0.82239,0.91256,0.62665,0.94192,0.74648,0.93653,0.00123094,0.00123094,0.00123094
16,126.148,0.63874,0.50197,0.89388,0.96333,0.94236,0.96352,0.66644,0.90749,0.56698,0.93373,0.00121679,0.00121679,0.00121679
17,132.544,0.67116,0.50872,0.9053,0.94514,0.94086,0.95883,0.6655,0.91567,0.57302,0.92951,0.00120265,0.00120265,0.00120265
18,139.12,0.6613,0.49891,0.89947,0.92262,0.91119,0.95383,0.67042,0.90779,0.58246,0.92576,0.0011885,0.0011885,0.0011885
19,145.479,0.63204,0.47168,0.88636,0.92153,0.89573,0.94246,0.64236,0.93347,0.56653,0.93968,0.00117435,0.00117435,0.00117435
20,151.465,0.64956,0.46829,0.89138,0.92758,0.94267,0.96173,0.67523,0.90942,0.55507,0.92017,0.00116021,0.00116021,0.00116021
21,157.633,0.68763,0.48201,0.91715,0.89372,0.84939,0.93226,0.65992,0.91421,0.58141,0.9213,0.00114606,0.00114606,0.00114606
22,164.096,0.65421,0.48218,0.89973,0.90432,0.87645,0.92444,0.63751,0.99748,0.60234,0.95605,0.00113191,0.00113191,0.00113191
23,170.557,0.62685,0.43935,0.88939,0.91075,0.88741,0.94132,0.66243,0.89676,0.56043,0.93158,0.00111776,0.00111776,0.00111776
24,176.937,0.63614,0.44561,0.90238,0.92325,0.89849,0.94877,0.65745,0.90241,0.57008,0.93769,0.00110362,0.00110362,0.00110362
25,183.315,0.62447,0.44223,0.89092,0.9468,0.8994,0.96107,0.66457,0.9091,0.5291,0.92451,0.00108947,0.00108947,0.00108947
26,189.755,0.66591,0.44928,0.90782,0.93345,0.90844,0.95378,0.6681,0.90621,0.54959,0.93339,0.00107532,0.00107532,0.00107532
27,196.177,0.63434,0.44198,0.89337,0.92501,0.90195,0.95703,0.67528,0.90051,0.52547,0.93012,0.00106118,0.00106118,0.00106118
28,202.595,0.63101,0.44025,0.88489,0.90107,0.86168,0.93726,0.64827,0.92703,0.57796,0.94988,0.00104703,0.00104703,0.00104703
29,209.064,0.63365,0.43779,0.8898,0.94818,0.88623,0.93726,0.64617,0.89193,0.55721,0.93367,0.00103288,0.00103288,0.00103288
