epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,83.3218,1.2007,0.73747,1.03345,0.95513,0.97547,0.98529,0.52332,1.53704,0.74484,1.05946,0.000848969,0.000848969,0.000848969
43,85.2533,1.2146,0.75926,0.9997,0.97703,0.96817,0.98769,0.5262,1.49923,0.75185,1.04262,0.000834822,0.000834822,0.000834822
44,87.2627,1.13326,0.71445,0.99205,0.99613,0.98239,0.99441,0.52275,1.58639,0.73517,1.07398,0.000820675,0.000820675,0.000820675
45,89.1986,1.21665,0.74872,1.01575,0.98857,0.94457,0.9911,0.53532,1.55073,0.73412,1.06202,0.000806528,0.000806528,0.000806528
46,91.3425,1.1352,0.70875,0.99718,0.99079,0.95325,0.99189,0.50973,1.60614,0.73722,1.11102,0.00079238,0.00079238,0.00079238
47,93.2782,1.13331,0.72717,1.00022,0.99322,0.93288,0.98031,0.53402,1.52843,0.72354,1.05995,0.000778233,0.000778233,0.000778233
48,95.1423,1.08201,0.69045,0.96816,0.98383,0.93483,0.99016,0.52657,1.55816,0.72937,1.06077,0.000764086,0.000764086,0.000764086
49,97.0752,1.17439,0.69666,1.0037,0.96294,0.93338,0.98223,0.49218,1.62645,0.76444,1.08722,0.000749939,0.000749939,0.000749939
50,98.9757,1.1217,0.67286,1.00051,0.96692,0.93424,0.9853,0.52527,1.5287,0.74589,1.04159,0.000735792,0.000735792,0.000735792
51,100.891,1.15818,0.70589,0.99203,0.97586,0.96696,0.99291,0.50693,1.63281,0.73958,1.09613,0.000721645,0.000721645,0.000721645
52,102.749,1.10959,0.66334,0.971,0.9827,0.96018,0.99174,0.53213,1.53321,0.70181,1.06075,0.000707498,0.000707498,0.000707498
53,104.585,1.14409,0.69018,1.00655,0.95062,0.96875,0.98416,0.51973,1.52622,0.70335,1.06783,0.000693351,0.000693351,0.000693351
54,106.432,1.0905,0.67311,0.97473,0.97079,0.96875,0.98032,0.53772,1.51342,0.69433,1.063,0.000679204,0.000679204,0.000679204
55,108.295,1.05537,0.64318,0.97251,0.94215,0.92525,0.95744,0.50043,1.57241,0.71585,1.07764,0.000665057,0.000665057,0.000665057
56,110.178,1.0738,0.66157,0.98277,0.96197,0.95623,0.97284,0.51864,1.51547,0.70549,1.05065,0.000650909,0.000650909,0.000650909
57,112.068,1.09028,0.64599,0.96933,0.97436,0.97197,0.98316,0.51794,1.54612,0.69539,1.0668,0.000636762,0.000636762,0.000636762
